e_Year,e_EventId
1661,1
1663,1
1668,1
1704,1
1705,3
1706,1
1707,4
1708,3
1709,5
1710,7
1711,3
1712,4
1714,2
1715,6
1716,5
1717,7
1718,3
1719,5
1720,11
1721,8
1722,6
1723,6
1724,5
1725,5
1726,7
1727,7
1728,6
1729,4
1730,15
1731,6
1732,10
1733,12
1734,9
1735,9
1736,10
1737,6
1738,8
1739,7
1740,7
1741,9
1742,17
1743,11
1744,14
1745,9
1746,8
1747,10
1748,7
1749,9
1750,8
1751,6
1752,8
1753,4
1754,6
1755,8
1756,9
1757,8
1758,9
1759,7
1760,7
1761,9
1762,6
1763,5
1764,8
1765,4
1766,6
1767,4
1768,7
1769,10
1770,7
1771,5
1772,7
1773,6
1774,6
1775,6
1776,5
1777,19
1778,5
1779,6
1780,5
1781,7
1782,6
1783,16
1784,7
1785,8
1786,3
1787,7
1788,2
1789,2
1790,4
1791,1
1792,2
1793,9
1794,7
1795,5
1796,11
1797,9
1798,13
1799,8
1800,1
