e_Year,e_EventId
1664,1
1667,1
1668,1
1673,1
1711,2
1712,1
1717,1
1718,5
1719,3
1720,4
1721,4
1722,4
1723,6
1724,4
1725,5
1726,4
1727,3
1728,3
1729,6
1730,6
1731,5
1732,5
1733,8
1734,9
1735,6
1736,7
1737,4
1738,6
1739,5
1740,9
1741,4
1742,4
1743,6
1744,21
1745,4
1746,9
1747,8
1748,6
1749,8
1750,7
1751,1
1752,10
1753,3
1754,5
1755,7
1756,5
1757,6
1758,4
1759,2
1760,1
1761,5
1762,2
1763,6
1764,3
1765,6
1766,1
1767,2
1768,12
1769,5
1770,8
1771,2
1772,7
1773,8
1774,2
1775,3
1776,6
1777,1
1778,10
1779,5
1780,7
1781,5
1782,7
1783,2
1784,5
1785,17
1786,6
1787,5
1788,6
1789,5
1790,4
1791,1
1792,5
1793,4
1794,19
1795,10
1796,6
1797,4
1798,4
1799,4
