e_Year,e_EventId
1728,16
1729,28
1730,12
1731,8
1732,27
1733,30
1734,9
1735,13
1736,16
1737,21
1738,8
1739,8
1740,16
1741,29
1742,7
1743,17
1744,16
1745,23
1746,30
1747,22
1748,14
1749,17
1750,13
1751,26
1752,11
1753,9
1754,11
1755,6
1756,6
1757,9
1758,7
1759,47
1760,27
1761,16
1762,15
1763,12
1764,8
1765,10
1766,9
1767,16
1768,12
1769,12
1770,7
1771,14
1772,12
1773,12
1774,13
1775,8
1776,12
1777,25
1778,16
1779,8
1780,16
1781,28
1782,16
1783,6
1784,8
1785,11
1786,8
1787,2
1788,4
1789,13
1790,4
1791,11
1792,4
1793,3
1795,4
1796,2
1797,4
1798,10
1799,8
1800,2
