e_Year,e_EventId
1731,39
1732,49
1733,42
1734,28
1735,26
1736,23
1737,12
1738,18
1739,19
1740,36
1741,28
1742,16
1743,23
1744,22
1745,22
1746,13
1747,10
1748,18
1749,20
1750,9
1751,17
1752,11
1753,13
1754,12
1755,16
1756,10
1757,11
1758,9
1759,6
1760,5
1761,6
1762,7
1763,7
1764,6
1765,7
1766,10
1767,8
1768,7
1769,10
1770,4
1771,10
1772,6
1773,3
1774,6
1775,5
1776,4
1777,6
1778,1
1779,1
1782,3
1785,1
1787,2
1788,3
1789,12
1790,6
1791,15
1792,8
1793,3
1794,3
1795,5
1796,9
1797,5
1798,4
1799,2
1800,5
