e_Year,e_EventId
1707,3
1708,2
1709,4
1710,2
1711,5
1712,3
1713,2
1715,1
1716,2
1717,3
1718,4
1719,2
1720,4
1721,7
1722,6
1723,5
1724,5
1725,8
1726,6
1727,5
1728,5
1729,12
1730,15
1731,13
1732,15
1733,7
1734,7
1735,8
1736,6
1737,6
1738,6
1739,6
1740,5
1741,12
1742,13
1743,12
1744,8
1745,9
1746,15
1747,6
1748,8
1749,7
1750,6
1751,8
1752,9
1753,4
1754,6
1755,6
1756,8
1757,7
1758,3
1759,8
1760,7
1761,21
1762,9
1763,6
1764,6
1765,4
1766,2
1767,8
1768,8
1769,5
1770,6
1771,7
1772,6
1773,9
1774,5
1775,6
1776,2
1778,3
1779,5
1780,8
1781,1
1782,5
1783,1
1784,3
1787,3
1788,2
1789,1
