e_Year,p_PerfTitleClean,e_EventId
1661,Hamlet,1
1663,Hamlet,1
1664,Macbeth,1
1667,Macbeth,1
1668,Hamlet,1
1668,Macbeth,1
1673,Macbeth,1
1704,Hamlet,1
1705,Hamlet,3
1706,Hamlet,1
1707,Hamlet,4
1707,The Stratagem,3
1708,Hamlet,3
1708,The Stratagem,2
1709,Hamlet,5
1709,The Stratagem,4
1710,Hamlet,7
1710,The Stratagem,2
1711,Hamlet,3
1711,Macbeth,2
1711,The Stratagem,5
1712,Hamlet,4
1712,Macbeth,1
1712,The Stratagem,3
1713,The Stratagem,2
1714,Hamlet,2
1715,Hamlet,6
1715,The Stratagem,1
1716,Hamlet,5
1716,The Stratagem,2
1717,Hamlet,7
1717,Macbeth,1
1717,The Stratagem,3
1718,Hamlet,3
1718,Macbeth,5
1718,The Stratagem,4
1719,Hamlet,5
1719,Macbeth,3
1719,The Stratagem,2
1720,Hamlet,11
1720,Macbeth,4
1720,The Stratagem,4
1721,Hamlet,8
1721,Macbeth,4
1721,The Stratagem,7
1722,Hamlet,6
1722,Macbeth,4
1722,The Stratagem,6
1723,Hamlet,6
1723,Macbeth,6
1723,The Stratagem,5
1724,Hamlet,5
1724,Macbeth,4
1724,The Stratagem,5
1725,Hamlet,5
1725,Macbeth,5
1725,The Stratagem,8
1726,Hamlet,7
1726,Macbeth,4
1726,The Stratagem,6
1727,Hamlet,7
1727,Macbeth,3
1727,The Stratagem,5
1728,Hamlet,6
1728,Macbeth,3
1728,The Beggars Opera,16
1728,The Stratagem,5
1729,Hamlet,4
1729,Macbeth,6
1729,The Beggars Opera,28
1729,The Stratagem,12
1730,Hamlet,15
1730,Macbeth,6
1730,The Beggars Opera,12
1730,The Stratagem,15
1731,Hamlet,6
1731,Macbeth,5
1731,The Beggars Opera,8
1731,The Devil to Pay,39
1731,The Stratagem,13
1732,Hamlet,10
1732,Macbeth,5
1732,The Beggars Opera,27
1732,The Devil to Pay,49
1732,The Stratagem,15
1733,Hamlet,12
1733,Macbeth,8
1733,The Beggars Opera,30
1733,The Devil to Pay,42
1733,The Stratagem,7
1734,Hamlet,9
1734,Macbeth,9
1734,The Beggars Opera,9
1734,The Devil to Pay,28
1734,The Stratagem,7
1735,Hamlet,9
1735,Macbeth,6
1735,The Beggars Opera,13
1735,The Devil to Pay,26
1735,The Stratagem,8
1736,Hamlet,10
1736,Macbeth,7
1736,The Beggars Opera,16
1736,The Devil to Pay,23
1736,The Stratagem,6
