c_Performer,p_PerfTitleClean,p_PerfTitleClean
,Macbeth,26
,The Beggars Opera,2
  others.,The Beggars Opera,9
 $Miss Raftor= in $Burney=.,The Beggars Opera,1
 &c.,The Beggars Opera,12
 +Baddeley,The Stratagem,1
 +Beard,Macbeth,1
 +Owenson.,Macbeth,2
 +Sawyer,The Devil to Pay,1
 .,Macbeth,3
 .,The Devil to Pay,1
 1st appearance,The Beggars Opera,6
 1st appearance any stage ,The Beggars Opera,1
 1st appearance here,Hamlet,3
 1st appearance here in 12 years,The Beggars Opera,11
 1st appearance on any stage,Hamlet,1
 1st appearance on any stage,The Beggars Opera,64
 1st appearance on any stage,The Stratagem,1
 1st appearance on any stage.,The Stratagem,1
 1st appearance on that stage.,The Devil to Pay,2
 1st appearance on the English Stage these 5 years,The Beggars Opera,8
 1st appearance on this stage,The Beggars Opera,22
 1st appearance on this stage in two years,The Beggars Opera,1
 1st appearance that stage,The Stratagem,1
 1st appearance that stage.,Hamlet,2
 1st appearance that stage.,The Devil to Pay,1
 1st appearance that stage.,The Stratagem,2
 1st appearance there.,The Stratagem,1
 1st appearance this kingdom,The Beggars Opera,2
 1st on that stage,The Stratagem,3
 1st time,Hamlet,12
 1st time,Macbeth,30
 1st time,The Beggars Opera,29
 1st time,The Stratagem,33
 1st time ,The Stratagem,1
 1st time at this theatre,The Beggars Opera,11
 1st time there in 3 years.,The Stratagem,4
 1st time this season,The Stratagem,2
 1st time this season.,The Beggars Opera,1
 1st time.,Hamlet,4
 1st time.,The Beggars Opera,8
 1st time.,The Devil to Pay,4
 1st time.,The Stratagem,6
 2d time on any stage.,The Beggars Opera,3
 2nd appearance any stage.,The Stratagem,1
 2nd appearance on the stage.,The Devil to Pay,2
 2nd time in that character,Hamlet,3
 3rd appeaarnce on any stage,Hamlet,1
 <i>Aickin.,Macbeth,3
 <i>Burton,Macbeth,1
 <i>Dowton.,Hamlet,3
 <i>Fawcett,Macbeth,1
 <i>Gardner.,Macbeth,1
 <i>Hippisley,Macbeth,1
 <i>Penkethman,Hamlet,1
 <i>Ray,Hamlet,1
 <i>Ray.,Hamlet,3
 <i>Sparks.,Hamlet,5
 <i>Stoppelaer,Hamlet,3
 <i>Vaughan.,Hamlet,2
 <i>Wilson,The Stratagem,1
 Abbot,Macbeth,5
 Abbot,The Beggars Opera,2
 Baddeley,Macbeth,56
 Banks,Macbeth,6
 Bannister,Macbeth,3
 Barnshaw,Macbeth,14
 Barrett,Hamlet,1
 Bates,Hamlet,1
 Bayzand,The Devil to Pay,1
 Beard,Macbeth,9
