p_PerfTitleClean,e_EventId
  Bickerstaffs Unburied Dead,1
Psyche Debauched,1
Psyche,1
Prunella,1
Provokd Husband,1
Proteus or Harlequin in China,1
Proper to the Play,1
Psyche Or Loves Mistress,1
Proper to the Opera,1
Procession,1
Primrose Green or Love in the Country,1
Previous to The Messiah An Ode written by W,1
Presumptuous Love,1
Preservd Or A Plot Discoverd,1
Preceding The Deserter,1
Procession End II A Return from a Tiger Hunt as17981112,1
Punchanellos Encounter with the Pig,1
Punchs Oratory or The Pleasures of the Town  Containing several diverting Passages ,1
Pyramus And Thisbe,1
Redemption 0 selected From The Great And Favoprite Works Of handel That Were Performed At His commemoration In Westminster Abbeyv And At The pantheon on 26 And 27 May 1784,1
Redemption 0 Triumph of Truth 0,1
Redemption 0 Selected From The Works Of handel By dr Arnold,1
Redemption 0 Grand Selection 0,1
Rare En Tout,1
Rape Upon Rape Or The Justice Caught In His Own Trap,1
ROSE AND COLIN ,1
ROSE AND COLIN,1
ROBINSON CRUSOE,1
ROBIN HOOD,1
Queen Tragedy Restored,1
Queen Catharine Or The Ruines Of Love,1
Pyrrhus King Of Epirus,1
Pyrrhus And Demetrius acts I And Ii,1
Pyramus and Thisbe Lyon Moonshine and Wall,1
Preceding As17891113,1
Preceded New Occasional Prelude,1
Pope John Viii,1
Poor Pierot Married or Harlequin Happy,1
Philodamus,1
Phillips J,1
Phaeton Or The Fatal Divorce,1
Phaedra And Hypolitus,1
Perseverance or The Third Time the Best,1
Perseus and Andromeda or The Spaniard Outwitted,1
Perseus and Andromeda With the Rape of Colombine or The Flying Lovers,1
Perseus and Andromeda With The Devil Upon Two Sticks,1
Perseus and Andromeda With Pierrot Married,1
Perseus and  Andromeda or The Cheats of Harlequin,1
Perseus And Andromeda,1
Perolla And Izadora,1
Perkin Warbeck,1
Penelope Or The Fair Disconsolate,1
Pellegrini Or The Pilgrims,1
Phoebe At Court,1
Redemption 0 selected From The Great And Favourite Works Of handel That Were Performed At His commemoration In Westminster Abbeyv And At The pantheon on 26 And 27 May 1784,1
Phormio,1
Phusimimesis or Resemblances of Nature,1
Poor Pierot Married,1
Poor Old Hay market Or Two Sides Of The Gutter,1
Pompey The Great,1
Poluscenicon,1
Polly Honeycombe With Alterations,1
Politicks on Both Sides,1
Polite Conversation Morning or Tea chat Noon or Table Talk a la mode,1
Polish Dance as17340312 Grand Dance in Momus Les Plaisirs Essex Miss Robinson Swains Boval S,1
Polifemo,1
Polidoro,1
Platonick Love Or The Innocent Mistake,1
Pisos Conspiracy,1
Pigmalion or The Statue Metamorphosed,1
Pierot Maitre Valet Et Lopera De Campagne Ou La Critique De Lopera De Paris,1
Pierot Maitre Valet Et Lopera De Campagne,1
Phusimimesis,1
Peeping Tom of Coventry,1
Redemption A Sacred Oratorio Selected From The Great And Favourite Works Of Handel,1
Redemption Selected From The Great And Favourite Works Of handel That Were Performed In westminster abbey And At The pantheon on 26 And 27 May 1784 0 Messiah Grand Selection 0,1
Scipios Triumph Or The Siege Of Carthage With The Comical Humours Of noodle stitch puzzle,1
Scipione In Cartagine,1
Scipio Africanus,1
School Boy,1
Scaramouch Scapin Or The Old Miser Caught In A Sack With The Comical Tricks And Cheats Of Scapins Three Companions trim The Barber sly And bully Bounceabout,1
Scaramouch Pedant Scrupuleux Ou Lescolier,1
Second Courae a Comic Dish never servd up before Kensington Gardens or The Walking Jockey,1
Scaramouch A Philosopher Harlequin A School boy Bravo Merchant And Magician,1
Sauny The Scot Or The Taming Of A Shrew,1
Saturday Night at Sea or Tars at Anchor,1
Saturday Night at Sea,1
Samson Judith,1
Samson Alexanders Feast And The Coronation Anthems,1
Samson Alexanders Feast,1
Sawney The Scot Or The Taming Of The Shrew,1
Second Thought is Best,1
Second Thoughts Are Best,1
See If You Like It,1
She Stoops To Conquer Orthe Mistakes Of A Night,1
Sg and Sga Grimaldi her 1st appearance on the English Stage,1
Several new Entertainments which were performd yesterday before Her Majesty at St,1
Several new Dances composed by Gherardi to be executed by his scholars who are all English,1
Several choiceConcertos the Youth J,1
Several Entertainments Sg Cassimo Maranesi Sga Bugiani being the first time of their appearing on the English Stage VIZ,1
Several Comical Dialogues Mr Dogget Mr Leveridge And other Entertainments of BalladSinging after the true English manner,1
Seventeen Hundred And Eighty One Or The Cartel At Philadelphia,1
Sesostris Or Royalty In Disguise,1
Sesostri,1
Separate Maintenance,1
Senocrita,1
Semiramide Or La Vendetta Di Nino,1
Semiramide O La Vendetta Di Nino,1
Semele,1
Samson Acis And Galatea,1
Saint Georges Day or Britons Rejoice,1
Saint Andrews Festival or The Game at Goff,1
Sacred Music,1
Rogers Wedding,1
Rodelinda,1
Robin Hood And Little John Shewing How He Was Banishd By The Instigation Of The earl Of Pembroke For The Love Of The Fair matilda His Bold Adventures With His Man little John And The band Of Outlaws On Which Information the King Went With His Army To pembroke And robin Hoods Happy Return To Court With The Comical Adventures Of Little John And The pindars Wife,1
Ripe Fruit,1
Rinaldo And Armida,1
Richmond Wells Or Good Luck At Last,1
Richard The Third,1
Richard The First King Of England,1
Richard III,1
Revenge,1
Retaliation or The Citizen a Soldier,1
Relapse Or Virtue In Danger,1
Rehearsal,1
